Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
BLOCK 1101,11/12/2020,11:00:00,24.78,26.22,23.83,36.85,0,639.32,7.06,218.26,1013.67,0.53
BLOCK 1101,11/12/2020,12:00:00,26.15,26.94,25.22,32.88,0,642.83,6.92,259.64,1012.72,0.57
BLOCK 1101,11/12/2020,13:00:00,26.94,27.88,25.7,31.95,0,575.45,9.01,242.27,1011.76,0.59
BLOCK 1101,11/12/2020,14:00:00,26.88,27.53,26.23,28.39,0,468.47,13.8,227.82,1011.17,0.63
BLOCK 1101,11/12/2020,15:00:00,26.67,27.18,25.94,29.04,0,310.18,14.37,248.04,1011.26,0.57
BLOCK 1101,11/12/2020,16:00:00,25.23,26.03,24.39,32.83,0,145.78,15.17,247.85,1011.17,0.47
BLOCK 1101,11/12/2020,17:00:00,22.91,24.43,21.4,38.94,0,20.85,12.33,259.82,1011.11,0.32
BLOCK 1101,11/12/2020,18:00:00,20.04,21.41,18.66,45.68,0,0.06,6.52,276.78,1011.43,0.16
BLOCK 1101,11/12/2020,19:00:00,17.71,18.67,17.05,53.08,0,0.05,3.56,307.23,1012.02,0.07
BLOCK 1101,11/12/2020,20:00:00,17.08,17.44,16.48,63.39,0,0.03,5.3,338.44,1012.39,0.12
BLOCK 1101,11/12/2020,21:00:00,16.62,16.97,16.08,69.37,0,0.05,3.26,41.55,1012.63,0.08
BLOCK 1101,11/12/2020,22:00:00,15.7,16.32,14.71,69.49,0,0.04,2.83,85.87,1012.79,0.07
BLOCK 1101,11/12/2020,23:00:00,14.9,15.25,14.35,71.35,0,0.06,2.6,128.41,1012.82,0.06
BLOCK 1101,11/13/2020,0:00:00,14.29,14.83,13.29,70.42,0,0.05,2.56,179.24,1012.8,0.01
BLOCK 1101,11/13/2020,1:00:00,13.59,13.83,13.23,76.47,0,0.07,2.02,147.5,1013.11,0
BLOCK 1101,11/13/2020,2:00:00,12.84,13.63,12.31,78.56,0,0.1,1.37,108.1,1013.01,0
BLOCK 1101,11/13/2020,3:00:00,12.62,12.98,12.02,79.5,0,0.1,3.14,54.74,1012.96,0
BLOCK 1101,11/13/2020,4:00:00,12.47,12.8,12.08,74.13,0,0.09,4.31,53.54,1013.06,0.03
BLOCK 1101,11/13/2020,5:00:00,12.83,13.06,12.53,70.51,0,0.08,3.87,67.72,1013.17,0.03
BLOCK 1101,11/13/2020,6:00:00,13.2,13.57,12.4,73.94,0,1.81,3.75,81.24,1013.59,0.02
BLOCK 1101,11/13/2020,7:00:00,14.55,17.19,13.51,79.42,0,80.85,3.17,78.77,1014.05,0.04
BLOCK 1101,11/13/2020,8:00:00,19.59,21.22,16.77,69.05,0,291.38,2.36,65.38,1014.53,0.17
BLOCK 1101,11/13/2020,9:00:00,22.34,24.01,20.79,59.72,0,449.77,3.6,313.15,1015.08,0.31
BLOCK 1101,11/13/2020,10:00:00,23.89,25.11,22.8,42.33,0,564.28,6.22,321.47,1015.23,0.45
BLOCK 1101,11/13/2020,11:00:00,25.97,26.98,24.19,33.02,0,627.82,6.29,290.28,1014.68,0.55
BLOCK 1101,11/13/2020,12:00:00,26.72,27.64,25.58,33.37,0,630.28,8.5,299.58,1013.72,0.59
BLOCK 1101,11/13/2020,13:00:00,27.3,28.26,26.77,36.79,0,563.85,12.94,291.7,1012.73,0.61
BLOCK 1101,11/13/2020,14:00:00,27.86,28.63,27.19,36.65,0,447.58,10.86,292,1012.14,0.55
BLOCK 1101,11/13/2020,15:00:00,27.87,28.5,27.26,36.1,0,296.32,12.07,302.02,1011.7,0.51
BLOCK 1101,11/13/2020,16:00:00,26.77,27.79,25.8,38.17,0,136.49,20.85,277.71,1011.48,0.52
BLOCK 1101,11/13/2020,17:00:00,24.09,25.8,22.65,47.29,0,21.74,18.43,276.26,1011.62,0.35
BLOCK 1101,11/13/2020,18:00:00,21.52,22.65,20.55,52.01,0,0.07,13.72,282.44,1012.03,0.24
BLOCK 1101,11/13/2020,19:00:00,19.9,20.59,19.22,57.77,0,0.01,10.11,294.86,1012.42,0.16
BLOCK 1101,11/13/2020,20:00:00,18.53,19.22,17.98,63.65,0,0.04,5.81,306.66,1012.53,0.13
BLOCK 1101,11/13/2020,21:00:00,17.19,18,16.59,67.88,0,0.05,2.95,286.14,1012.69,0.08
BLOCK 1101,11/13/2020,22:00:00,16.05,16.84,15.34,72.33,0,0.04,2.43,247.95,1012.95,0.06
BLOCK 1101,11/13/2020,23:00:00,15.31,16.05,14.36,76.61,0,0.05,1.96,358.01,1013.1,0.05
BLOCK 1101,11/14/2020,0:00:00,14.72,15.28,13.38,80.89,0,0.06,1.33,131.95,1012.98,0
BLOCK 1101,11/14/2020,1:00:00,13.35,14.01,12.76,83.29,0,0.05,0.59,245.9,1012.72,0
BLOCK 1101,11/14/2020,2:00:00,12.99,13.55,12.44,88.58,0,0.06,2.07,337.55,1012.44,0
BLOCK 1101,11/14/2020,3:00:00,12.83,13.76,12.07,85.3,0,0.09,3.28,4.86,1012.33,0
BLOCK 1101,11/14/2020,4:00:00,12.34,13.34,11.45,84.32,0,0.11,4.36,19.07,1012.3,0.01
BLOCK 1101,11/14/2020,5:00:00,12.06,12.6,11.41,86.1,0,0.1,3.62,26.85,1012.49,0
BLOCK 1101,11/14/2020,6:00:00,12.14,12.88,11.27,86.1,0,2.21,4.18,45.02,1012.6,0
BLOCK 1101,11/14/2020,7:00:00,12.57,14.5,11.25,83.93,0,75.06,4.17,33.98,1012.97,0.03
BLOCK 1101,11/14/2020,8:00:00,17.08,19.05,14.47,67.77,0,282.43,6.24,40.48,1013.46,0.18
BLOCK 1101,11/14/2020,9:00:00,21.3,24.29,19.06,53.44,0,441.53,4.2,32.06,1013.86,0.31
BLOCK 1101,11/14/2020,10:00:00,24.06,25.42,22.84,44.4,0,563.75,4.24,354.55,1014.06,0.43
BLOCK 1101,11/14/2020,11:00:00,25.7,26.87,24.59,32.98,0,634.13,6.05,343.03,1013.59,0.55
BLOCK 1101,11/14/2020,12:00:00,27.44,28.47,26.22,27.93,0,639.2,7.79,302.96,1012.59,0.63
BLOCK 1101,11/14/2020,13:00:00,28.85,29.73,27.64,24.01,0,583.17,7.57,308.35,1011.5,0.64
BLOCK 1101,11/14/2020,14:00:00,29.85,30.55,28.87,23.16,0,469.37,7.25,271.35,1010.81,0.6
BLOCK 1101,11/14/2020,15:00:00,29.59,30.67,27.98,26.51,0,305.75,12.29,280.64,1010.52,0.61
BLOCK 1101,11/14/2020,16:00:00,27.43,28.5,26.27,31.3,0,137.08,20.24,286.03,1010.39,0.58
BLOCK 1101,11/14/2020,17:00:00,24.61,26.29,22.89,37.35,0,21.4,15.32,279.16,1010.44,0.39
BLOCK 1101,11/14/2020,18:00:00,21.92,22.87,20.92,44.17,0,0.09,12.33,287.78,1010.8,0.27
BLOCK 1101,11/14/2020,19:00:00,20.12,20.95,19.43,53.14,0,0.02,10.21,296.63,1011.27,0.19
BLOCK 1101,11/14/2020,20:00:00,18.74,19.44,18.05,61.57,0,0.04,6.35,287.68,1011.52,0.14
BLOCK 1101,11/14/2020,21:00:00,17.4,18.05,17.05,68.04,0,0.07,2.77,261.61,1011.77,0.08
BLOCK 1101,11/14/2020,22:00:00,16.48,17.14,15.59,72.39,0,0.04,0.7,14.86,1012,0.03
BLOCK 1101,11/14/2020,23:00:00,16.09,16.58,15,76.58,0,0.06,1.98,42.02,1012.03,0.05
BLOCK 1101,11/15/2020,0:00:00,14.52,15.16,13.94,82.02,0,0.06,1.3,325.14,1011.84,0
BLOCK 1101,11/15/2020,1:00:00,14.43,15.1,14.05,79.93,0,0.06,3.05,27.42,1011.58,0
BLOCK 1101,11/15/2020,2:00:00,13.85,14.62,12.74,76.87,0,0.04,2.7,20.19,1011.32,0
BLOCK 1101,11/15/2020,3:00:00,12.15,13.37,11.43,76.49,0,0.07,1.4,217.31,1011.02,0
BLOCK 1101,11/15/2020,4:00:00,11.63,12.17,11.17,78.95,0,0.13,1.64,268.86,1010.96,0
BLOCK 1101,11/15/2020,5:00:00,12.52,12.97,11.84,80.67,0,0.1,0.12,235.4,1011.11,0
BLOCK 1101,11/15/2020,6:00:00,13.2,13.42,12.94,77.89,0,1.65,1.33,46.97,1011.55,0
BLOCK 1101,11/15/2020,7:00:00,14.16,16.46,13.13,74.65,0,68.76,1.61,62.9,1012.02,0.02
BLOCK 1101,11/15/2020,8:00:00,19.65,22.86,16.46,55.39,0,282.48,2.45,43.29,1012.58,0.19
BLOCK 1101,11/15/2020,9:00:00,24.28,26.48,22.77,36.8,0,428.68,2.51,51.73,1013.04,0.34
BLOCK 1101,11/15/2020,10:00:00,26.87,28.32,25.47,31.46,0,530.42,3.76,26.54,1012.88,0.47
BLOCK 1101,11/15/2020,11:00:00,29.35,30.56,27.74,27.46,0,619.55,5.65,315.89,1012.08,0.61
BLOCK 1101,11/15/2020,12:00:00,31.14,31.92,30.38,25.55,0,629.15,10.24,290.98,1011.21,0.76
BLOCK 1101,11/15/2020,13:00:00,32.07,33.22,31.38,23.81,0,567.98,12.86,294.87,1010.16,0.81
BLOCK 1101,11/15/2020,14:00:00,32.77,33.72,32.09,24.39,0,457.78,17.25,289.92,1009.38,0.85
BLOCK 1101,11/15/2020,15:00:00,31.96,32.66,31.14,24.86,0,303.85,21.11,278.32,1009.24,0.82
BLOCK 1101,11/15/2020,16:00:00,30.21,31.53,28.86,28.14,0,137.62,19.53,278.41,1009.06,0.67
BLOCK 1101,11/15/2020,17:00:00,27.02,28.9,25.01,36.12,0,21.73,12.9,275.14,1009.17,0.4
BLOCK 1101,11/15/2020,18:00:00,23.76,25.01,22.51,45.86,0,0.07,8.97,273.98,1009.5,0.23
BLOCK 1101,11/15/2020,19:00:00,21.67,22.51,20.88,55.92,0,0.07,8.19,281.7,1009.74,0.16
BLOCK 1101,11/15/2020,20:00:00,20.14,20.89,19.19,63.83,0,0.02,3.93,286.81,1010.08,0.11
BLOCK 1101,11/15/2020,21:00:00,18.68,19.44,17.93,72.35,0,0.03,1.48,249.48,1010.51,0.05
BLOCK 1101,11/15/2020,22:00:00,18.08,18.31,17.79,77.8,0,0.07,0.68,151.47,1010.77,0.03
BLOCK 1101,11/15/2020,23:00:00,17.23,17.79,16.72,77.54,0,0.02,3.92,132.51,1010.88,0.07
BLOCK 1101,11/16/2020,0:00:00,16.62,16.87,16.24,81.16,0,0.05,3.61,133.21,1010.79,0.01
BLOCK 1101,11/16/2020,1:00:00,15.6,16.24,15.18,78.64,0,0.07,3.92,95.13,1010.82,0.02
BLOCK 1101,11/16/2020,2:00:00,15.02,15.21,14.65,74.83,0,0.06,4.29,99.83,1010.51,0.03
BLOCK 1101,11/16/2020,3:00:00,14.31,14.86,13.73,75.9,0,0.07,2.02,82.6,1010.4,0
BLOCK 1101,11/16/2020,4:00:00,14.38,14.65,14.15,78.45,0,0.05,2.67,70.38,1010.5,0
BLOCK 1101,11/16/2020,5:00:00,13.59,15.43,11.75,75.21,0,0.04,1.99,29.67,1010.65,0
BLOCK 1101,11/16/2020,6:00:00,12.58,12.82,12.09,79.37,0,1.2,3.32,10.18,1011.05,0.01
BLOCK 1101,11/16/2020,7:00:00,13.82,16.53,12.82,76.3,0,66.47,1.39,12.79,1011.55,0.02
BLOCK 1101,11/16/2020,8:00:00,20.25,22.59,16.56,55.18,0,275.6,1.87,235.19,1012.25,0.18
BLOCK 1101,11/16/2020,9:00:00,24.37,26.37,22.55,46.86,0,439.13,4.04,242.23,1012.75,0.36
BLOCK 1101,11/16/2020,10:00:00,27.53,29.04,26.31,37.27,0,555.68,4.41,276.47,1012.73,0.49
BLOCK 1101,11/16/2020,11:00:00,29.74,31.22,28.25,31.75,0,620.25,4.62,277.32,1012,0.58
BLOCK 1101,11/16/2020,12:00:00,31.64,32.96,30.01,27.35,0,622.22,3.91,279.42,1011.01,0.6
BLOCK 1101,11/16/2020,13:00:00,33.42,34.21,32.5,23.82,0,561.48,6.31,234.26,1010.05,0.68
BLOCK 1101,11/16/2020,14:00:00,34.3,35.09,33.62,23.54,0,448.33,8.32,242.4,1009.45,0.69
BLOCK 1101,11/16/2020,15:00:00,32.9,34.6,31.4,30.18,0,289.82,18.75,257.96,1009.31,0.76
BLOCK 1101,11/16/2020,16:00:00,30.22,31.59,28.83,33.04,0,116.81,17.38,268.58,1009.3,0.59
BLOCK 1101,11/16/2020,17:00:00,26.99,28.84,25.22,41.79,0,17.76,13.73,278.2,1009.57,0.38
BLOCK 1101,11/16/2020,18:00:00,23.81,25.22,22.43,48.97,0,0.07,8.19,278.58,1010.22,0.21
BLOCK 1101,11/16/2020,19:00:00,21.56,22.42,20.46,55.77,0,0.07,4.66,274.89,1010.55,0.1
BLOCK 1101,11/16/2020,20:00:00,20.15,20.49,19.74,65.65,0,0.03,1.58,347.01,1010.73,0.06
BLOCK 1101,11/16/2020,21:00:00,19.69,20.08,19.26,74.3,0,0.04,3.24,22.76,1010.96,0.07
BLOCK 1101,11/16/2020,22:00:00,19.19,19.71,18.89,74.53,0,0.06,3.35,100.83,1011.25,0.07
BLOCK 1101,11/16/2020,23:00:00,18.35,19.12,17.22,70.69,0,0.08,2.88,168.75,1011.54,0.07
BLOCK 1101,11/17/2020,0:00:00,17.28,17.91,16.37,74.35,0,0.04,4.1,223.7,1011.74,0.03
BLOCK 1101,11/17/2020,1:00:00,17.24,17.62,16.32,81.73,0,0.04,2.57,163.77,1011.51,0
BLOCK 1101,11/17/2020,2:00:00,16.28,16.87,15.46,83.33,0,0.06,3.49,39.04,1011.45,0
BLOCK 1101,11/17/2020,3:00:00,15.99,16.35,15.52,81.2,0,0.06,3.8,50.64,1011.37,0.01
BLOCK 1101,11/17/2020,4:00:00,16.06,16.55,15.52,77.94,0,0.05,5.51,43.01,1011.29,0.03
BLOCK 1101,11/17/2020,5:00:00,16.12,16.77,15.4,75.57,0,0.05,4.11,33.73,1011.55,0.03
BLOCK 1101,11/17/2020,6:00:00,15.55,16.7,14.03,79.07,0,0.97,2.23,14.48,1012.28,0
BLOCK 1101,11/17/2020,7:00:00,15.85,18.18,14.21,81.6,0,62.32,0.05,102.61,1012.77,0
BLOCK 1101,11/17/2020,8:00:00,21.71,23.93,18.17,62.18,0,221.44,3,276.7,1013.32,0.17
BLOCK 1101,11/17/2020,9:00:00,23.94,25.68,22.56,53.25,0,389.08,6.92,326.28,1013.87,0.34
BLOCK 1101,11/17/2020,10:00:00,28.37,30.02,25.66,33.23,0,521.5,1.38,352.25,1013.85,0.4
BLOCK 1101,11/17/2020,11:00:00,30.59,31.34,29.5,28.45,0,589.25,4.12,264.23,1013.14,0.57
BLOCK 1101,11/17/2020,12:00:00,31.88,33.06,30.96,29.16,0,593.55,8.18,290.9,1012.3,0.69
BLOCK 1101,11/17/2020,13:00:00,33.46,34.24,32.46,25.34,0,535.4,9.03,289.42,1011.42,0.73
BLOCK 1101,11/17/2020,14:00:00,34.56,35.39,33.88,27.22,0,423.05,9.58,286.53,1010.84,0.7
BLOCK 1101,11/17/2020,15:00:00,34.39,35.32,33.7,27.61,0,275.58,10.73,278.45,1010.76,0.65
BLOCK 1101,11/17/2020,16:00:00,33.27,34.04,32.24,26.38,0,121.87,11.6,276.96,1010.5,0.59
BLOCK 1101,11/17/2020,17:00:00,30.22,32.25,28.12,32.51,0,16.56,9.02,272.38,1010.37,0.38
BLOCK 1101,11/17/2020,18:00:00,26.04,28.12,24.47,41.91,0,0.04,5.7,271.25,1010.67,0.19
BLOCK 1101,11/17/2020,19:00:00,23.29,24.48,21.99,46.63,0,0.04,3.55,266.33,1010.96,0.1
BLOCK 1101,11/17/2020,20:00:00,21.28,21.99,20.45,52.48,0,0.06,4.99,278.57,1011.4,0.17
BLOCK 1101,11/17/2020,21:00:00,20.17,20.59,19.08,61.25,0,0.03,1.84,23.56,1011.72,0.08
BLOCK 1101,11/17/2020,22:00:00,19.61,20.32,18.4,65.31,0,0.04,2.81,95.03,1011.84,0.09
BLOCK 1101,11/17/2020,23:00:00,18.87,19.67,18.05,66.1,0,0.08,1.72,113.11,1011.8,0.06
BLOCK 1101,11/18/2020,0:00:00,18.25,19,17.57,69.21,0,0.07,1.75,62.39,1011.74,0
BLOCK 1101,11/18/2020,1:00:00,17.61,18.43,16.31,66.94,0,0.02,0.97,69.87,1011.48,0
BLOCK 1101,11/18/2020,2:00:00,16.93,18.33,15.93,71.53,0,0.05,2.05,139.85,1011.24,0
BLOCK 1101,11/18/2020,3:00:00,16.88,17.77,16.16,70.74,0,0.06,1.27,94.16,1011.15,0
BLOCK 1101,11/18/2020,4:00:00,15.45,16.22,14.65,76.06,0,0.05,2,9.09,1011.15,0
BLOCK 1101,11/18/2020,5:00:00,16.07,16.54,15.25,77.38,0,0.05,3.65,17.13,1011.29,0.02
BLOCK 1101,11/18/2020,6:00:00,16.29,16.75,15.65,80.72,0,1.73,1.62,57.97,1011.67,0
BLOCK 1101,11/18/2020,7:00:00,16.85,19.2,15.27,76.18,0,67.2,2.7,22.59,1012.1,0.04
BLOCK 1101,11/18/2020,8:00:00,21.59,23.55,19.22,58.5,0,252,7.13,30.3,1012.35,0.24
BLOCK 1101,11/18/2020,9:00:00,25.81,28.58,23.4,45.33,0,414.85,8.08,23.94,1012.58,0.42
BLOCK 1101,11/18/2020,10:00:00,29.93,31.31,28.18,35.49,0,529.57,3.07,14.03,1012.43,0.47
BLOCK 1101,11/18/2020,11:00:00,32.42,33.37,30.68,29.31,0,595.77,5.83,305.85,1011.97,0.64
BLOCK 1101,11/18/2020,12:00:00,34.69,35.53,33.37,24.49,0,600.93,5.92,277.12,1011.07,0.7
BLOCK 1101,11/18/2020,13:00:00,35.76,36.82,34.88,21.87,0,543.75,10.05,278.65,1010.27,0.84
BLOCK 1101,11/18/2020,14:00:00,36.46,36.93,35.54,21.68,0,427.35,12.61,278.98,1009.62,0.86
BLOCK 1101,11/18/2020,15:00:00,35.59,36.52,34.47,24.49,0,280.97,17.76,279.56,1009.37,0.87
BLOCK 1101,11/18/2020,16:00:00,33.1,34.44,31.5,25.89,0,125.04,16.27,284.2,1009.33,0.7
BLOCK 1101,11/18/2020,17:00:00,29.56,31.5,27.13,31.59,0,17.56,11.01,261.02,1009.62,0.43
BLOCK 1101,11/18/2020,18:00:00,25.6,27.14,24.15,40.1,0,0.04,5.15,245.07,1010.05,0.18
BLOCK 1101,11/18/2020,19:00:00,23.17,24.14,22.65,44.31,0,0.04,3.21,264.76,1010.46,0.09
BLOCK 1101,11/18/2020,20:00:00,22.68,23.16,21.95,56.53,0,0.09,2.29,12.14,1010.76,0.1
BLOCK 1101,11/18/2020,21:00:00,21.45,22.19,19.92,61.3,0,0.04,2.19,135.03,1011.1,0.09
BLOCK 1101,11/18/2020,22:00:00,20.26,20.6,19.67,62.11,0,0.03,4.45,138.63,1011.35,0.12
BLOCK 1101,11/18/2020,23:00:00,19.41,20.22,19.02,65.27,0,0.04,3.94,142.99,1011.41,0.1
BLOCK 1101,11/19/2020,0:00:00,18.88,19.32,18.57,66.88,0,0.1,3.4,136.37,1011.22,0.04
BLOCK 1101,11/19/2020,1:00:00,17.86,19.06,17.47,68.87,0,0.07,1.67,78.61,1010.97,0
BLOCK 1101,11/19/2020,2:00:00,17.89,18.27,17.43,71.43,0,0.03,3.11,92.53,1010.75,0.02
BLOCK 1101,11/19/2020,3:00:00,17.35,17.95,16.87,72.03,0,0.05,2.38,50.89,1010.65,0.01
BLOCK 1101,11/19/2020,4:00:00,17.01,17.59,16.05,70.27,0,0.06,2.02,63.78,1010.62,0
BLOCK 1101,11/19/2020,5:00:00,15.38,16.04,14.83,72.83,0,0.07,0.12,92.96,1010.68,0
BLOCK 1101,11/19/2020,6:00:00,15.15,15.63,14.79,77.58,0,1.24,1.15,46.6,1011.06,0
BLOCK 1101,11/19/2020,7:00:00,16.48,18.41,15.52,69.3,0,53.65,2.31,39.19,1011.5,0.04
BLOCK 1101,11/19/2020,8:00:00,21.16,23.65,18.42,55.81,0,252.35,6.02,26.24,1011.93,0.23
BLOCK 1101,11/19/2020,9:00:00,26.57,28.64,23.64,40.66,0,416.17,9.71,2.98,1012.36,0.48
BLOCK 1101,11/19/2020,10:00:00,29.56,31.17,28.23,31.34,0,536.05,11.41,346.34,1012.36,0.66
BLOCK 1101,11/19/2020,11:00:00,32.06,33.08,30.96,26.28,0,602.85,11.73,326.51,1011.6,0.79
BLOCK 1101,11/19/2020,12:00:00,34.42,35.67,32.88,24.72,0,605.43,10.19,301.01,1010.46,0.82
BLOCK 1101,11/19/2020,13:00:00,36.29,37.86,35.01,22.73,0,550.73,13.85,297.23,1009.12,0.94
BLOCK 1101,11/19/2020,14:00:00,37.93,38.69,37.52,18.63,0,431.53,18.36,293.46,1008.31,1
BLOCK 1101,11/19/2020,15:00:00,36.12,37.89,34.7,22.74,0,284.42,22.99,285.69,1008.04,1
BLOCK 1101,11/19/2020,16:00:00,33.17,34.84,31.57,28.73,0,126.09,19.11,286.02,1007.87,0.73
BLOCK 1101,11/19/2020,17:00:00,29.5,31.59,27.28,38.07,0,17.32,14.47,284.57,1007.98,0.45
BLOCK 1101,11/19/2020,18:00:00,25.88,27.28,24.6,49.52,0,0.04,15.23,289.86,1008.17,0.32
BLOCK 1101,11/19/2020,19:00:00,23.86,24.63,23.35,58.05,0,0.02,11.54,292.07,1008.59,0.21
BLOCK 1101,11/19/2020,20:00:00,23.15,23.43,22.51,61.65,0,0.07,9.98,301.31,1008.97,0.21
BLOCK 1101,11/19/2020,21:00:00,21.94,22.53,21.53,64.92,0,0.07,6.33,325.45,1009.51,0.15
BLOCK 1101,11/19/2020,22:00:00,20.97,22.3,19.77,66.25,0,0.03,5.67,296.13,1009.7,0.13
BLOCK 1101,11/19/2020,23:00:00,19.41,19.77,19.06,70.88,0,0.03,2.13,308.73,1009.75,0.06
BLOCK 1101,11/20/2020,0:00:00,19.1,19.77,17.87,72.85,0,0.08,2.38,310.72,1009.65,0.01
BLOCK 1101,11/20/2020,1:00:00,17.19,17.85,16.98,77.95,0,0.07,3.45,278.7,1009.72,0.01
BLOCK 1101,11/20/2020,2:00:00,17.49,18.21,16.67,80.51,0,0.03,3.53,310.54,1009.54,0.01
BLOCK 1101,11/20/2020,3:00:00,16.26,16.91,15.82,80.36,0,0.05,1.97,271.32,1009.59,0
BLOCK 1101,11/20/2020,4:00:00,17.8,18.36,16.92,85.13,0,0.07,3.53,26.36,1009.65,0
BLOCK 1101,11/20/2020,5:00:00,16.55,16.98,16.27,88.07,0,0.05,4.28,11.6,1009.99,0
BLOCK 1101,11/20/2020,6:00:00,16.57,16.99,16.03,89.1,0,1.21,4.02,21.99,1010.66,0
BLOCK 1101,11/20/2020,7:00:00,16.67,18.35,15.9,88.7,0,49.6,3.06,353.4,1011.31,0.01
BLOCK 1101,11/20/2020,8:00:00,22.12,24.72,18.37,69.54,0,255.68,6.87,318.87,1011.93,0.2
BLOCK 1101,11/20/2020,9:00:00,26.62,28.31,24.74,43.97,0,420.37,6.89,324.88,1012.44,0.43
BLOCK 1101,11/20/2020,10:00:00,29.61,30.83,28.29,34.32,0,540.48,5.56,325.21,1012.3,0.54
BLOCK 1101,11/20/2020,11:00:00,32.52,34.32,30.61,29.77,0,604.55,6.47,309.86,1011.7,0.66
BLOCK 1101,11/20/2020,12:00:00,34.74,35.63,33.97,25.72,0,606.7,10.88,292.18,1010.88,0.84
BLOCK 1101,11/20/2020,13:00:00,36.32,37.05,35.48,23.01,0,551.57,13.97,290.73,1009.8,0.94
BLOCK 1101,11/20/2020,14:00:00,35.57,36.23,35,28.55,0,439.27,18.66,282.85,1009.04,0.91
BLOCK 1101,11/20/2020,15:00:00,35.35,36.08,34.58,26.47,0,287.67,21.27,287.41,1008.67,0.91
BLOCK 1101,11/20/2020,16:00:00,33.1,34.72,31.17,32.48,0,124.76,19.13,282.85,1008.68,0.69
BLOCK 1101,11/20/2020,17:00:00,28.84,31.18,27.04,42.37,0,16.31,18.16,286.39,1008.63,0.46
BLOCK 1101,11/20/2020,18:00:00,25.75,27.04,24.58,52.83,0,0.03,14.42,288.24,1008.81,0.29
BLOCK 1101,11/20/2020,19:00:00,23.76,24.59,23.15,61.01,0,0.03,12.5,290.97,1009.18,0.2
BLOCK 1101,11/20/2020,20:00:00,22.66,23.15,22.14,64.71,0,0.08,7.75,308.95,1009.6,0.17
BLOCK 1101,11/20/2020,21:00:00,21.53,22.14,21.27,68.06,0,0.07,5.28,330.18,1009.99,0.12
BLOCK 1101,11/20/2020,22:00:00,21.55,21.97,20.74,65.84,0,0.02,7.89,319.38,1010.13,0.16
BLOCK 1101,11/20/2020,23:00:00,21.16,21.42,20.74,65.7,0,0.03,5.62,331.04,1010.18,0.13
BLOCK 1101,11/21/2020,0:00:00,20.79,21.07,19.72,67.09,0,0.03,1.87,31.81,1010.25,0.01
BLOCK 1101,11/21/2020,1:00:00,18.75,19.72,17.91,74.75,0,0.07,1.11,26.45,1010.09,0
BLOCK 1101,11/21/2020,2:00:00,17.97,18.31,17.43,78.44,0,0.07,1.4,51.43,1009.74,0
BLOCK 1101,11/21/2020,3:00:00,17.11,17.97,16.2,80.88,0,0.03,1.13,84.86,1009.63,0
BLOCK 1101,11/21/2020,4:00:00,16.53,17.13,15.36,81.47,0,0.06,1.68,88.64,1009.78,0
BLOCK 1101,11/21/2020,5:00:00,16.25,16.8,15.36,81.93,0,0.05,2.58,98.66,1010.08,0
BLOCK 1101,11/21/2020,6:00:00,16.37,16.91,15.69,82.13,0,1.1,2.32,104.84,1010.68,0
BLOCK 1101,11/21/2020,7:00:00,15.46,17.37,14.58,79.21,0,46.3,0.98,145.62,1011.39,0
BLOCK 1101,11/21/2020,8:00:00,22.65,25.8,17.38,62.26,0,261.42,0.9,116.95,1011.78,0.16
BLOCK 1101,11/21/2020,9:00:00,26.99,28.29,25.61,47.57,0,421.68,2,23.82,1012.11,0.33
BLOCK 1101,11/21/2020,10:00:00,29.68,31.05,28.07,34.77,0,540.32,4.07,328.57,1012.23,0.5
BLOCK 1101,11/21/2020,11:00:00,31.88,32.96,30.74,28.83,0,606.45,6,291.47,1011.67,0.65
BLOCK 1101,11/21/2020,12:00:00,33.59,35.2,32.71,28.01,0,608.67,9.69,280.56,1010.66,0.77
BLOCK 1101,11/21/2020,13:00:00,35.42,36.43,34.4,27.4,0,533.17,15.79,280.59,1009.69,0.91
BLOCK 1101,11/21/2020,14:00:00,35.19,35.69,34.56,27.76,0,442.05,20.73,278.4,1009.06,0.94
BLOCK 1101,11/21/2020,15:00:00,34.75,35.36,33.94,26.84,0,292.65,22.66,281.16,1008.68,0.9
BLOCK 1101,11/21/2020,16:00:00,32.65,34.01,31.21,31.66,0,132.31,17.78,282.04,1008.38,0.67
BLOCK 1101,11/21/2020,17:00:00,28.97,31.18,26.93,40.38,0,21.36,13.39,284.98,1008.28,0.41
BLOCK 1101,11/21/2020,18:00:00,25.62,26.92,24.27,49.98,0,0.05,9.7,294.3,1008.57,0.24
BLOCK 1101,11/21/2020,19:00:00,23.11,24.27,21.93,58.12,0,0.04,7.85,290.74,1008.9,0.16
BLOCK 1101,11/21/2020,20:00:00,21.47,21.95,21.13,62.92,0,0.08,5.47,289.82,1009.06,0.14
BLOCK 1101,11/21/2020,21:00:00,20.43,21.49,19.69,63.74,0,0.03,5.21,289.76,1009.2,0.13
BLOCK 1101,11/21/2020,22:00:00,18.91,19.91,18.21,70.13,0,0.05,1,298.82,1009.24,0.04
BLOCK 1101,11/21/2020,23:00:00,17.48,18.22,16.91,70.64,0,0.07,3.53,250.72,1009.19,0.08
