Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
"BLOCK 1101","2019-09-17","00:00:00","26.91","27.08","26.68","95.40","0.00","0.03","2.03","191.10","1007.82","0",
"BLOCK 1101","2019-09-17","01:00:00","26.45","26.69","26.20","96.52","0.00","0.03","0.79","137.78","1007.83","0",
"BLOCK 1101","2019-09-17","02:00:00","26.18","26.30","25.93","97.33","0.00","0.05","3.11","43.82","1007.65","0",
"BLOCK 1101","2019-09-17","03:00:00","25.99","26.12","25.82","98.00","0.00","0.05","2.34","51.61","1007.35","0",
"BLOCK 1101","2019-09-17","04:00:00","25.78","25.92","25.70","98.25","0.00","0.05","1.91","55.35","1007.63","0",
"BLOCK 1101","2019-09-17","05:00:00","25.53","25.72","25.37","98.20","0.00","0.10","2.09","89.46","1007.97","0",
"BLOCK 1101","2019-09-17","06:00:00","25.48","26.57","25.25","97.80","0.00","31.30","1.61","83.79","1008.39","0",
"BLOCK 1101","2019-09-17","07:00:00","28.35","30.11","26.55","87.82","0.00","217.00","2.62","105.92","1008.93","0.14",
"BLOCK 1101","2019-09-17","08:00:00","30.40","31.22","29.83","79.35","0.00","418.03","3.95","48.18","1009.30","0.31",
"BLOCK 1101","2019-09-17","09:00:00","31.25","32.46","30.32","75.44","0.00","591.05","5.17","15.94","1009.51","0.43",
"BLOCK 1101","2019-09-17","10:00:00","33.08","34.19","32.09","66.33","0.00","724.27","3.39","22.71","1009.26","0.57",
"BLOCK 1101","2019-09-17","11:00:00","34.34","35.20","32.97","59.50","0.00","760.03","3.98","297.74","1008.60","0.63",
"BLOCK 1101","2019-09-17","12:00:00","35.95","37.35","35.02","51.63","0.00","831.67","4.32","275.55","1007.77","0.73",
"BLOCK 1101","2019-09-17","13:00:00","36.44","37.71","35.78","49.83","0.00","787.73","3.13","337.62","1007.12","0.69",
"BLOCK 1101","2019-09-17","14:00:00","36.64","37.65","35.86","47.78","0.00","435.60","4.07","286.09","1006.32","0.47",
"BLOCK 1101","2019-09-17","15:00:00","36.17","37.57","35.31","51.30","0.00","489.07","17.34","260.61","1005.63","0.70",
"BLOCK 1101","2019-09-17","16:00:00","34.62","35.42","33.83","56.87","0.00","317.85","22.10","264.19","1005.45","0.58",
"BLOCK 1101","2019-09-17","17:00:00","33.10","33.92","32.20","63.48","0.00","129.17","20.13","261.17","1005.35","0.40",
"BLOCK 1101","2019-09-17","18:00:00","31.14","32.24","30.38","72.55","0.00","15.69","15.47","259.99","1005.57","0.22",
"BLOCK 1101","2019-09-17","19:00:00","29.90","30.40","29.52","80.07","0.00","0.03","10.15","255.16","1006.02","0.11",
"BLOCK 1101","2019-09-17","20:00:00","29.15","29.56","28.76","83.65","0.00","0.05","6.35","242.03","1006.65","0.09",
"BLOCK 1101","2019-09-17","21:00:00","28.49","28.77","28.25","87.80","0.00","0.05","3.66","250.89","1007.03","0.05",
"BLOCK 1101","2019-09-17","22:00:00","28.16","28.28","27.90","89.48","0.00","0.02","1.49","200.11","1007.37","0.03",
