Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
"BLOCK 910 (CIANO)","2019-12-18","19:00:00","16.39","16.93","15.66","61.53","0.00","0.00","4.71","288.62","1002.46","0.08",
"BLOCK 910 (CIANO)","2019-12-18","20:00:00","14.80","15.66","13.91","68.38","0.00","0.00","2.08","324.71","1002.67","0.05",
"BLOCK 910 (CIANO)","2019-12-18","21:00:00","14.32","14.64","13.93","76.87","0.00","0.00","2.97","290.14","1002.95","0.05",
"BLOCK 910 (CIANO)","2019-12-18","22:00:00","13.69","13.97","13.39","83.72","0.00","0.00","2.80","270.30","1002.75","0.03",
"BLOCK 910 (CIANO)","2019-12-18","23:00:00","13.29","13.45","13.11","88.33","0.00","0.00","3.40","259.34","1002.73","0.03",
"BLOCK 910 (CIANO)","2019-12-19","00:00:00","12.73","13.32","12.31","90.78","0.00","0.00","2.43","292.88","1002.63","0",
"BLOCK 910 (CIANO)","2019-12-19","01:00:00","11.87","12.34","11.33","92.67","0.00","0.00","1.50","302.82","1002.63","0",
"BLOCK 910 (CIANO)","2019-12-19","02:00:00","11.12","11.60","10.56","92.55","0.00","0.00","1.94","41.40","1002.36","0",
"BLOCK 910 (CIANO)","2019-12-19","03:00:00","10.80","11.09","10.50","91.02","0.00","0.00","3.07","107.29","1002.25","0",
"BLOCK 910 (CIANO)","2019-12-19","04:00:00","11.40","11.93","10.68","91.03","0.00","0.00","3.64","154.67","1002.23","0.00",
"BLOCK 910 (CIANO)","2019-12-19","05:00:00","11.31","11.92","10.91","88.78","0.00","0.00","2.37","265.99","1002.62","0",
"BLOCK 910 (CIANO)","2019-12-19","06:00:00","11.01","11.33","10.81","90.00","0.00","0.01","2.52","351.59","1003.16","0",
"BLOCK 910 (CIANO)","2019-12-19","07:00:00","11.76","12.20","10.99","86.07","0.00","12.14","4.02","5.96","1003.61","0.00",
"BLOCK 910 (CIANO)","2019-12-19","08:00:00","12.47","13.25","11.60","85.10","0.00","58.13","1.07","276.52","1004.38","0.00",
"BLOCK 910 (CIANO)","2019-12-19","09:00:00","14.33","15.86","13.17","74.44","0.00","129.85","3.52","331.84","1005.04","0.07",
"BLOCK 910 (CIANO)","2019-12-19","10:00:00","17.15","18.26","15.84","59.94","0.00","242.27","4.36","315.51","1005.51","0.17",
"BLOCK 910 (CIANO)","2019-12-19","11:00:00","18.65","19.96","17.85","53.44","0.00","374.80","8.06","300.78","1005.79","0.28",
"BLOCK 910 (CIANO)","2019-12-19","12:00:00","20.93","21.62","19.84","40.48","0.00","423.38","7.32","310.37","1004.95","0.37",
"BLOCK 910 (CIANO)","2019-12-19","13:00:00","21.44","21.79","21.15","39.81","0.00","296.20","6.57","303.11","1004.21","0.32",
"BLOCK 910 (CIANO)","2019-12-19","14:00:00","21.33","22.81","20.76","40.94","0.00","348.22","7.35","284.90","1003.93","0.34",
"BLOCK 910 (CIANO)","2019-12-19","15:00:00","21.78","22.72","21.24","39.28","0.00","253.48","6.71","272.36","1003.93","0.31",
"BLOCK 910 (CIANO)","2019-12-19","16:00:00","21.85","22.29","21.00","38.29","0.00","193.50","7.05","265.15","1004.41","0.29",
"BLOCK 910 (CIANO)","2019-12-19","17:00:00","19.22","21.63","17.03","50.92","0.00","35.40","6.59","264.70","1004.70","0.15",
"BLOCK 910 (CIANO)","2019-12-19","18:00:00","15.95","17.03","14.82","63.21","0.00","0.02","4.58","265.51","1004.76","0.06",
"BLOCK 910 (CIANO)","2019-12-19","19:00:00","14.01","14.85","13.43","69.45","0.00","0.00","2.82","265.91","1005.22","0.03",
"BLOCK 910 (CIANO)","2019-12-19","20:00:00","12.54","13.51","11.39","77.11","0.00","0.00","1.15","276.99","1005.57","0.03",
"BLOCK 910 (CIANO)","2019-12-19","21:00:00","10.10","11.43","9.22","81.50","0.00","0.00","1.04","63.61","1005.72","0.02",
"BLOCK 910 (CIANO)","2019-12-19","22:00:00","9.58","10.89","8.51","87.98","0.00","0.00","2.33","179.37","1006.20","0.02",
"BLOCK 910 (CIANO)","2019-12-19","23:00:00","8.59","9.38","7.64","90.37","0.00","0.00","2.51","186.07","1005.99","0.02",
"BLOCK 910 (CIANO)","2019-12-20","00:00:00","7.04","7.59","6.59","91.85","0.00","0.00","1.43","104.68","1006.18","0",
"BLOCK 910 (CIANO)","2019-12-20","01:00:00","8.25","9.51","6.83","93.83","0.00","0.00","3.78","37.25","1006.27","0",
"BLOCK 910 (CIANO)","2019-12-20","02:00:00","7.19","9.03","6.32","93.27","0.00","0.00","2.47","46.26","1006.19","0",
"BLOCK 910 (CIANO)","2019-12-20","03:00:00","8.29","8.74","7.32","90.27","0.00","0.00","2.16","340.60","1006.23","0",
"BLOCK 910 (CIANO)","2019-12-20","04:00:00","7.38","8.08","6.77","92.13","0.00","0.00","3.70","274.55","1006.16","0",
"BLOCK 910 (CIANO)","2019-12-20","05:00:00","7.37","7.86","6.81","92.05","0.00","0.00","5.32","288.79","1006.36","0.00",
"BLOCK 910 (CIANO)","2019-12-20","06:00:00","7.12","7.30","6.88","90.57","0.00","0.04","6.08","289.94","1006.62","0",
"BLOCK 910 (CIANO)","2019-12-20","07:00:00","7.95","8.69","7.24","81.28","0.00","48.77","6.56","294.86","1006.88","0.03",
"BLOCK 910 (CIANO)","2019-12-20","08:00:00","10.50","12.66","8.65","78.12","0.00","224.43","6.60","296.00","1007.53","0.10",
"BLOCK 910 (CIANO)","2019-12-20","09:00:00","14.95","17.11","12.62","67.78","0.00","407.88","7.83","315.78","1008.08","0.21",
"BLOCK 910 (CIANO)","2019-12-20","10:00:00","18.76","20.50","16.99","52.36","0.00","552.70","9.69","321.77","1008.50","0.35",
"BLOCK 910 (CIANO)","2019-12-20","11:00:00","22.19","23.46","20.56","41.97","0.00","647.30","10.76","316.17","1008.23","0.49",
"BLOCK 910 (CIANO)","2019-12-20","12:00:00","23.85","24.88","23.06","38.72","0.00","674.13","10.74","305.68","1007.62","0.55",
"BLOCK 910 (CIANO)","2019-12-20","13:00:00","25.35","26.23","24.42","35.59","0.00","639.98","10.99","310.33","1006.67","0.58",
"BLOCK 910 (CIANO)","2019-12-20","14:00:00","26.57","27.08","25.90","32.52","0.00","546.10","8.64","310.40","1005.89","0.56",
"BLOCK 910 (CIANO)","2019-12-20","15:00:00","26.89","27.20","26.49","31.75","0.00","396.47","9.41","293.74","1005.59","0.52",
"BLOCK 910 (CIANO)","2019-12-20","16:00:00","25.35","26.87","23.77","35.80","0.00","209.77","10.20","287.24","1005.81","0.41",
"BLOCK 910 (CIANO)","2019-12-20","17:00:00","21.84","23.81","19.56","44.77","0.00","37.95","8.29","287.50","1005.79","0.22",
"BLOCK 910 (CIANO)","2019-12-20","18:00:00","18.26","19.56","16.97","56.98","0.00","0.02","7.16","271.70","1005.86","0.12",
"BLOCK 910 (CIANO)","2019-12-20","19:00:00","16.09","16.96","15.08","68.78","0.00","0.00","5.66","286.03","1005.95","0.07",
"BLOCK 910 (CIANO)","2019-12-20","20:00:00","14.25","15.09","13.66","77.47","0.00","0.00","3.36","327.75","1006.36","0.05",
"BLOCK 910 (CIANO)","2019-12-20","21:00:00","14.00","14.49","13.53","74.43","0.00","0.00","4.86","320.23","1006.91","0.07",
"BLOCK 910 (CIANO)","2019-12-20","22:00:00","13.16","13.60","12.76","73.45","0.00","0.00","6.35","299.19","1007.09","0.08",
"BLOCK 910 (CIANO)","2019-12-20","23:00:00","12.86","13.62","12.28","76.42","0.00","0.00","3.95","338.75","1006.98","0.05",
"BLOCK 910 (CIANO)","2019-12-21","00:00:00","13.31","14.57","12.21","70.29","0.00","0.00","6.23","337.75","1006.65","0.07",
"BLOCK 910 (CIANO)","2019-12-21","01:00:00","14.67","15.26","13.59","55.99","0.00","0.00","9.32","0.64","1006.33","0.14",
"BLOCK 910 (CIANO)","2019-12-21","02:00:00","13.93","14.52","13.14","56.72","0.00","0.00","5.75","349.07","1006.17","0.10",
"BLOCK 910 (CIANO)","2019-12-21","03:00:00","13.80","14.11","13.26","53.99","0.00","0.00","6.21","353.43","1006.13","0.11",
"BLOCK 910 (CIANO)","2019-12-21","04:00:00","12.97","14.17","12.30","53.35","0.00","0.00","8.03","25.76","1005.82","0.13",
"BLOCK 910 (CIANO)","2019-12-21","05:00:00","12.13","13.14","10.41","54.17","0.00","0.00","5.83","31.30","1005.70","0.10",
"BLOCK 910 (CIANO)","2019-12-21","06:00:00","9.15","10.38","7.20","67.71","0.00","0.06","1.00","251.89","1006.13","0",
"BLOCK 910 (CIANO)","2019-12-21","07:00:00","11.03","14.11","7.84","59.69","0.00","47.21","3.61","355.15","1006.47","0.06",
"BLOCK 910 (CIANO)","2019-12-21","08:00:00","15.78","17.92","14.11","44.26","0.00","224.47","7.57","5.73","1007.36","0.23",
"BLOCK 910 (CIANO)","2019-12-21","09:00:00","19.76","21.38","17.92","32.88","0.00","411.60","11.60","7.57","1007.77","0.42",
"BLOCK 910 (CIANO)","2019-12-21","10:00:00","22.80","24.72","21.32","27.78","0.00","558.52","11.74","6.10","1007.83","0.55",
"BLOCK 910 (CIANO)","2019-12-21","11:00:00","25.31","26.39","24.12","23.09","0.00","650.10","10.80","352.72","1007.57","0.65",
"BLOCK 910 (CIANO)","2019-12-21","12:00:00","27.09","28.11","26.18","19.55","0.00","679.42","10.37","339.36","1006.53","0.72",
"BLOCK 910 (CIANO)","2019-12-21","13:00:00","28.47","29.38","27.70","17.69","0.00","646.93","10.82","328.64","1005.44","0.76",
"BLOCK 910 (CIANO)","2019-12-21","14:00:00","29.34","29.79","28.69","16.61","0.00","554.02","10.86","326.09","1004.95","0.74",
"BLOCK 910 (CIANO)","2019-12-21","15:00:00","29.56","29.85","29.34","14.83","0.00","399.57","10.20","336.79","1004.49","0.68",
"BLOCK 910 (CIANO)","2019-12-21","16:00:00","27.71","29.56","25.92","18.95","0.00","131.46","7.63","318.38","1004.56","0.43",
"BLOCK 910 (CIANO)","2019-12-21","17:00:00","23.44","25.94","20.82","36.33","0.00","43.00","7.92","290.37","1004.70","0.27",
"BLOCK 910 (CIANO)","2019-12-21","18:00:00","19.03","20.83","17.91","47.52","0.00","0.02","6.50","299.09","1004.71","0.15",
"BLOCK 910 (CIANO)","2019-12-21","19:00:00","16.78","17.92","15.38","49.49","0.00","0.00","5.10","300.40","1004.80","0.12",
"BLOCK 910 (CIANO)","2019-12-21","20:00:00","15.64","16.03","15.00","52.25","0.00","0.00","5.44","318.02","1005.14","0.14",
"BLOCK 910 (CIANO)","2019-12-21","21:00:00","14.60","15.15","13.74","59.89","0.00","0.00","5.59","308.68","1005.17","0.11",
"BLOCK 910 (CIANO)","2019-12-21","22:00:00","12.24","14.07","9.40","66.92","0.00","0.00","1.06","11.21","1004.99","0.03",
"BLOCK 910 (CIANO)","2019-12-21","23:00:00","11.03","12.28","9.63","73.52","0.00","0.00","2.99","210.82","1005.03","0.05",
"BLOCK 910 (CIANO)","2019-12-22","00:00:00","11.56","12.10","10.91","75.64","0.00","0.00","2.90","245.18","1005.03","0.02",
"BLOCK 910 (CIANO)","2019-12-22","01:00:00","10.35","12.00","9.15","79.31","0.00","0.00","2.60","310.19","1005.01","0.01",
"BLOCK 910 (CIANO)","2019-12-22","02:00:00","10.66","12.11","8.91","73.41","0.00","0.00","2.99","348.41","1004.91","0.02",
"BLOCK 910 (CIANO)","2019-12-22","03:00:00","9.50","10.24","8.93","74.81","0.00","0.00","3.26","3.69","1005.06","0.02",
"BLOCK 910 (CIANO)","2019-12-22","04:00:00","9.53","10.44","8.81","75.32","0.00","0.00","3.78","0.31","1005.03","0.03",
"BLOCK 910 (CIANO)","2019-12-22","05:00:00","8.99","10.30","7.82","71.37","0.00","0.00","3.04","28.30","1005.07","0.02",
"BLOCK 910 (CIANO)","2019-12-22","06:00:00","8.72","10.16","8.10","66.19","0.00","0.07","3.08","55.28","1005.24","0.02",
"BLOCK 910 (CIANO)","2019-12-22","07:00:00","8.67","9.52","7.80","67.57","0.00","17.94","2.82","98.12","1006.01","0.02",
"BLOCK 910 (CIANO)","2019-12-22","08:00:00","13.60","16.29","9.18","50.77","0.00","219.62","3.58","13.17","1006.74","0.15",
"BLOCK 910 (CIANO)","2019-12-22","09:00:00","18.84","20.82","16.25","40.07","0.00","445.10","6.31","25.88","1007.35","0.34",
"BLOCK 910 (CIANO)","2019-12-22","10:00:00","23.31","26.00","20.57","28.11","0.00","488.03","3.41","20.23","1007.69","0.40",
