Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
"BLOCK 910 (CIANO)","2017-01-01","00:00:00","14.83","15.56","14.27","84.33","0.00","0.00","4.28","137.49","999.87","0.02",
"BLOCK 910 (CIANO)","2017-01-01","01:00:00","15.71","16.09","15.16","80.92","0.00","0.00","4.06","93.92","999.55","0.03",
"BLOCK 910 (CIANO)","2017-01-01","02:00:00","15.61","15.96","15.06","82.65","0.00","0.00","5.37","135.41","999.42","0.03",
"BLOCK 910 (CIANO)","2017-01-01","03:00:00","14.96","15.15","14.74","86.97","0.00","0.00","6.89","130.70","999.30","0.03",
"BLOCK 910 (CIANO)","2017-01-01","04:00:00","14.99","15.49","14.78","87.23","0.00","0.00","6.38","128.05","999.08","0.02",
"BLOCK 910 (CIANO)","2017-01-01","05:00:00","15.82","15.96","15.47","86.68","0.00","0.00","7.76","137.40","999.00","0.03",
"BLOCK 910 (CIANO)","2017-01-01","06:00:00","15.81","16.00","15.72","89.02","0.00","0.00","8.35","133.47","999.20","0.03",
"BLOCK 910 (CIANO)","2017-01-01","07:00:00","16.20","16.56","15.95","88.50","0.00","11.52","7.28","143.26","999.56","0.02",
"BLOCK 910 (CIANO)","2017-01-01","08:00:00","16.88","17.50","16.45","88.68","0.00","48.25","10.76","162.11","1000.01","0.04",
"BLOCK 910 (CIANO)","2017-01-01","09:00:00","18.50","19.68","17.50","86.22","0.00","165.90","12.48","165.40","1000.53","0.09",
"BLOCK 910 (CIANO)","2017-01-01","10:00:00","19.54","20.00","19.16","78.05","0.00","168.70","10.08","225.81","1001.09","0.13",
"BLOCK 910 (CIANO)","2017-01-01","11:00:00","19.98","20.60","19.41","70.26","0.00","310.13","14.52","237.06","1001.17","0.22",
"BLOCK 910 (CIANO)","2017-01-01","12:00:00","21.13","22.00","20.54","62.21","0.00","503.05","14.15","225.13","1000.52","0.33",
"BLOCK 910 (CIANO)","2017-01-01","13:00:00","21.52","21.99","20.80","57.21","0.00","509.72","14.49","231.52","1000.07","0.37",
"BLOCK 910 (CIANO)","2017-01-01","14:00:00","21.69","22.37","20.85","55.72","0.00","471.48","12.65","230.27","1000.07","0.36",
