Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
"BLOCK 910 (CIANO)","2017-12-27","00:00:00","13.25","14.20","12.64","77.35","0.00","0.00","0.37","8.30","1006.57","0",
"BLOCK 910 (CIANO)","2017-12-27","01:00:00","14.72","15.45","13.97","76.29","0.00","0.00","2.97","313.38","1006.51","0.02",
"BLOCK 910 (CIANO)","2017-12-27","02:00:00","14.42","15.26","13.28","72.89","0.00","0.00","2.45","2.05","1006.68","0.02",
"BLOCK 910 (CIANO)","2017-12-27","03:00:00","13.37","13.72","13.02","79.09","0.00","0.00","1.20","340.32","1006.75","0",
"BLOCK 910 (CIANO)","2017-12-27","04:00:00","12.69","13.59","12.17","80.57","0.00","0.00","0.96","82.55","1006.58","0",
"BLOCK 910 (CIANO)","2017-12-27","05:00:00","12.93","13.10","12.52","80.15","0.00","0.00","0.93","344.11","1006.62","0",
"BLOCK 910 (CIANO)","2017-12-27","06:00:00","12.12","12.85","11.61","80.14","0.00","0.00","1.29","335.34","1006.96","0",
"BLOCK 910 (CIANO)","2017-12-27","07:00:00","11.43","13.05","10.42","80.75","0.00","27.62","0.98","252.39","1007.52","0",
"BLOCK 910 (CIANO)","2017-12-27","08:00:00","15.52","17.12","13.06","69.13","0.00","150.32","4.49","328.41","1008.07","0.10",
"BLOCK 910 (CIANO)","2017-12-27","09:00:00","18.94","20.62","16.34","55.12","0.00","408.65","5.47","332.41","1008.87","0.28",
"BLOCK 910 (CIANO)","2017-12-27","10:00:00","21.26","22.78","20.40","43.36","0.00","437.07","6.53","317.72","1009.07","0.36",
"BLOCK 910 (CIANO)","2017-12-27","11:00:00","23.98","25.75","22.72","35.32","0.00","575.52","4.81","288.97","1008.55","0.47",
"BLOCK 910 (CIANO)","2017-12-27","12:00:00","25.90","27.04","25.01","32.08","0.00","514.98","6.60","274.52","1007.48","0.50",
"BLOCK 910 (CIANO)","2017-12-27","13:00:00","24.98","25.40","24.14","35.10","0.00","224.70","10.29","264.21","1006.55","0.41",
"BLOCK 910 (CIANO)","2017-12-27","14:00:00","23.73","24.45","23.35","45.78","0.00","279.12","11.78","277.08","1006.04","0.38",
