Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
"BLOCK 910 (CIANO)","2020-12-11","00:00:00","15.01","15.39","14.77","89.15","0.00","0.00","4.40","316.61","1004.96","0.01",
"BLOCK 910 (CIANO)","2020-12-11","01:00:00","14.51","14.92","13.96","92.50","0.00","0.00","4.69","320.72","1004.89","0.00",
"BLOCK 910 (CIANO)","2020-12-11","02:00:00","13.65","14.07","12.79","93.25","0.00","0.00","3.37","339.24","1004.55","0",
"BLOCK 910 (CIANO)","2020-12-11","03:00:00","13.07","13.60","12.27","93.65","0.00","0.00","3.89","306.23","1004.45","0",
"BLOCK 910 (CIANO)","2020-12-11","04:00:00","12.01","12.36","11.66","94.25","0.00","0.00","4.84","311.35","1004.85","0",
"BLOCK 910 (CIANO)","2020-12-11","05:00:00","11.99","12.30","11.64","94.42","0.00","0.00","3.63","305.40","1004.89","0",
"BLOCK 910 (CIANO)","2020-12-11","06:00:00","11.91","12.20","11.76","94.30","0.00","0.14","4.56","310.57","1005.10","0",
"BLOCK 910 (CIANO)","2020-12-11","07:00:00","12.67","14.10","11.83","93.68","0.00","67.21","5.23","323.38","1005.44","0.01",
"BLOCK 910 (CIANO)","2020-12-11","08:00:00","15.57","17.50","14.07","90.22","0.00","243.02","7.37","346.14","1006.08","0.09",
"BLOCK 910 (CIANO)","2020-12-11","09:00:00","18.35","19.58","17.33","80.05","0.00","407.57","8.55","346.92","1006.58","0.19",
"BLOCK 910 (CIANO)","2020-12-11","10:00:00","20.86","21.83","19.50","69.08","0.00","549.32","7.07","354.63","1006.88","0.31",
"BLOCK 910 (CIANO)","2020-12-11","11:00:00","22.58","23.75","21.23","58.14","0.00","635.03","7.66","3.54","1006.52","0.41",
"BLOCK 910 (CIANO)","2020-12-11","12:00:00","23.99","24.72","23.45","48.32","0.00","658.90","5.98","323.73","1005.63","0.48",
"BLOCK 910 (CIANO)","2020-12-11","13:00:00","24.81","25.47","24.25","43.70","0.00","622.07","6.71","294.00","1004.50","0.49",
"BLOCK 910 (CIANO)","2020-12-11","14:00:00","25.58","26.07","24.93","38.08","0.00","526.13","7.41","311.83","1003.76","0.49",
"BLOCK 910 (CIANO)","2020-12-11","15:00:00","26.04","26.44","25.63","33.55","0.00","373.85","6.36","326.22","1003.31","0.43",
"BLOCK 910 (CIANO)","2020-12-11","16:00:00","25.34","26.02","24.45","41.05","0.00","189.68","6.70","307.88","1003.01","0.31",
"BLOCK 910 (CIANO)","2020-12-11","17:00:00","22.05","24.45","19.74","58.84","0.00","27.69","8.73","270.52","1003.09","0.17",
"BLOCK 910 (CIANO)","2020-12-11","18:00:00","18.59","19.74","17.77","71.37","0.00","0.01","9.78","282.64","1003.41","0.10",
"BLOCK 910 (CIANO)","2020-12-11","19:00:00","17.03","17.77","16.52","76.85","0.00","0.00","6.96","294.97","1003.76","0.06",
"BLOCK 910 (CIANO)","2020-12-11","20:00:00","15.59","16.67","14.56","80.24","0.00","0.00","2.56","359.25","1004.32","0.04",
"BLOCK 910 (CIANO)","2020-12-11","21:00:00","15.45","16.32","13.92","80.76","0.00","0.00","4.01","358.85","1004.57","0.05",
"BLOCK 910 (CIANO)","2020-12-11","22:00:00","14.41","15.84","13.75","82.81","0.00","0.00","0.79","342.32","1004.49","0.02",
"BLOCK 910 (CIANO)","2020-12-11","23:00:00","13.53","14.59","11.41","86.00","0.00","0.00","1.19","260.22","1003.90","0.02",
"BLOCK 910 (CIANO)","2020-12-12","00:00:00","11.27","11.88","10.30","91.17","0.00","0.00","0.61","140.22","1003.46","0",
"BLOCK 910 (CIANO)","2020-12-12","01:00:00","11.17","11.89","9.83","93.17","0.00","0.00","1.17","174.84","1003.21","0",
"BLOCK 910 (CIANO)","2020-12-12","02:00:00","10.93","11.62","9.05","93.48","0.00","0.00","1.29","46.28","1003.49","0",
"BLOCK 910 (CIANO)","2020-12-12","03:00:00","11.84","13.27","9.29","88.70","0.00","0.00","3.12","348.91","1003.08","0.00",
"BLOCK 910 (CIANO)","2020-12-12","04:00:00","11.99","13.01","11.65","86.62","0.00","0.00","5.16","292.79","1003.00","0.02",
"BLOCK 910 (CIANO)","2020-12-12","05:00:00","10.24","12.24","9.03","88.00","0.00","0.00","2.79","104.79","1002.74","0.00",
"BLOCK 910 (CIANO)","2020-12-12","06:00:00","9.80","11.30","8.87","90.33","0.00","0.13","3.72","153.19","1003.10","0",
"BLOCK 910 (CIANO)","2020-12-12","07:00:00","11.80","14.49","10.31","84.08","0.00","57.19","3.52","257.53","1004.25","0.02",
"BLOCK 910 (CIANO)","2020-12-12","08:00:00","17.24","18.35","14.53","67.44","0.00","230.97","2.10","294.33","1004.93","0.13",
"BLOCK 910 (CIANO)","2020-12-12","09:00:00","19.24","20.14","17.83","60.82","0.00","404.57","5.49","316.95","1005.22","0.26",
"BLOCK 910 (CIANO)","2020-12-12","10:00:00","21.35","22.88","19.86","52.17","0.00","542.27","5.75","322.90","1005.54","0.37",
"BLOCK 910 (CIANO)","2020-12-12","11:00:00","23.67","24.50","22.73","44.65","0.00","625.25","7.99","298.22","1005.36","0.48",
