Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
"BLOCK 910 (CIANO)","2020-12-12","12:00:00","25.05","25.98","24.24","40.83","0.00","648.65","7.42","287.69","1004.29","0.53",
"BLOCK 910 (CIANO)","2020-12-12","13:00:00","26.14","26.97","25.50","37.88","0.00","612.53","7.21","279.26","1003.38","0.54",
"BLOCK 910 (CIANO)","2020-12-12","14:00:00","26.74","27.18","26.42","36.64","0.00","516.38","7.47","258.29","1002.61","0.51",
"BLOCK 910 (CIANO)","2020-12-12","15:00:00","26.81","27.23","26.41","35.10","0.00","371.73","6.96","235.78","1002.27","0.44",
"BLOCK 910 (CIANO)","2020-12-12","16:00:00","25.85","26.79","24.68","36.98","0.00","192.55","8.76","244.57","1002.01","0.37",
"BLOCK 910 (CIANO)","2020-12-12","17:00:00","22.62","24.70","20.60","45.00","0.00","30.72","5.74","242.37","1001.91","0.18",
"BLOCK 910 (CIANO)","2020-12-12","18:00:00","19.83","20.74","18.63","50.87","0.00","0.00","4.60","244.28","1001.88","0.12",
"BLOCK 910 (CIANO)","2020-12-12","19:00:00","17.71","18.63","16.30","52.09","0.00","0.00","2.64","221.03","1001.87","0.06",
"BLOCK 910 (CIANO)","2020-12-12","20:00:00","14.15","16.28","12.92","66.22","0.00","0.00","0.32","178.57","1002.16","0.02",
"BLOCK 910 (CIANO)","2020-12-12","21:00:00","11.92","13.33","11.42","73.82","0.00","0.00","1.26","75.63","1002.53","0.03",
"BLOCK 910 (CIANO)","2020-12-12","22:00:00","12.10","12.70","11.77","72.84","0.00","0.00","1.43","228.96","1002.99","0.03",
"BLOCK 910 (CIANO)","2020-12-12","23:00:00","10.32","12.12","9.59","80.92","0.00","0.00","1.25","145.95","1003.11","0.02",
"BLOCK 910 (CIANO)","2020-12-13","00:00:00","9.87","11.01","8.55","82.15","0.00","0.00","1.37","154.37","1003.28","0",
"BLOCK 910 (CIANO)","2020-12-13","01:00:00","9.14","10.10","8.47","84.77","0.00","0.00","0.40","208.21","1003.51","0",
"BLOCK 910 (CIANO)","2020-12-13","02:00:00","9.31","10.32","8.58","81.90","0.00","0.00","3.63","351.83","1003.32","0.01",
"BLOCK 910 (CIANO)","2020-12-13","03:00:00","8.84","10.41","7.82","82.91","0.00","0.00","2.22","14.48","1003.29","0.00",
"BLOCK 910 (CIANO)","2020-12-13","04:00:00","11.12","12.10","9.90","77.39","0.00","0.00","6.10","351.95","1003.59","0.04",
"BLOCK 910 (CIANO)","2020-12-13","05:00:00","8.29","10.44","7.27","83.03","0.00","0.00","0.74","21.89","1003.85","0",
"BLOCK 910 (CIANO)","2020-12-13","06:00:00","7.87","8.95","6.71","87.55","0.00","0.17","1.18","247.96","1004.70","0",
"BLOCK 910 (CIANO)","2020-12-13","07:00:00","8.40","10.96","6.47","88.55","0.00","56.71","1.58","249.69","1005.63","0.00",
"BLOCK 910 (CIANO)","2020-12-13","08:00:00","13.36","16.05","10.93","76.13","0.00","230.70","3.25","16.34","1006.60","0.11",
"BLOCK 910 (CIANO)","2020-12-13","09:00:00","18.41","19.87","16.00","56.30","0.00","411.98","7.62","341.63","1007.27","0.28",
"BLOCK 910 (CIANO)","2020-12-13","10:00:00","20.93","22.21","19.74","45.48","0.00","547.90","8.69","341.34","1007.55","0.41",
"BLOCK 910 (CIANO)","2020-12-13","11:00:00","23.09","24.43","22.06","43.35","0.00","632.77","8.75","345.55","1007.06","0.49",
"BLOCK 910 (CIANO)","2020-12-13","12:00:00","25.16","26.23","24.05","39.91","0.00","655.82","7.66","331.62","1006.21","0.54",
"BLOCK 910 (CIANO)","2020-12-13","13:00:00","26.51","27.44","25.78","37.67","0.00","613.83","6.14","323.80","1005.45","0.53",
"BLOCK 910 (CIANO)","2020-12-13","14:00:00","27.26","27.99","26.52","36.53","0.00","517.23","5.00","256.11","1004.85","0.48",
"BLOCK 910 (CIANO)","2020-12-13","15:00:00","27.22","28.61","26.58","34.37","0.00","370.85","7.34","296.63","1004.46","0.46",
"BLOCK 910 (CIANO)","2020-12-13","16:00:00","25.11","26.65","23.65","38.02","0.00","190.78","11.66","295.13","1004.23","0.41",
"BLOCK 910 (CIANO)","2020-12-13","17:00:00","21.90","23.66","19.97","46.65","0.00","30.25","9.12","288.28","1004.14","0.23",
"BLOCK 910 (CIANO)","2020-12-13","18:00:00","18.59","19.98","17.29","59.29","0.00","0.00","6.82","273.20","1004.16","0.13",
"BLOCK 910 (CIANO)","2020-12-13","19:00:00","16.78","17.32","16.23","64.74","0.00","0.00","6.03","293.83","1004.26","0.09",
"BLOCK 910 (CIANO)","2020-12-13","20:00:00","15.78","16.30","15.48","65.96","0.00","0.00","4.55","310.33","1004.39","0.09",
"BLOCK 910 (CIANO)","2020-12-13","21:00:00","15.04","15.48","14.78","64.17","0.00","0.00","6.87","306.20","1004.31","0.12",
"BLOCK 910 (CIANO)","2020-12-13","22:00:00","14.13","14.89","13.68","64.96","0.00","0.00","6.06","282.87","1004.19","0.10",
"BLOCK 910 (CIANO)","2020-12-13","23:00:00","13.39","13.70","13.15","66.29","0.00","0.00","7.81","290.17","1004.04","0.11",
"BLOCK 910 (CIANO)","2020-12-14","00:00:00","12.84","13.15","12.56","67.09","0.00","0.00","8.43","293.24","1003.71","0.09",
"BLOCK 910 (CIANO)","2020-12-14","01:00:00","12.31","12.63","11.79","69.92","0.00","0.00","7.18","289.21","1003.49","0.07",
"BLOCK 910 (CIANO)","2020-12-14","02:00:00","11.46","11.83","10.96","70.71","0.00","0.00","3.19","329.26","1003.50","0.03",
"BLOCK 910 (CIANO)","2020-12-14","03:00:00","10.86","11.12","10.40","71.55","0.00","0.00","2.41","309.06","1003.58","0.02",
"BLOCK 910 (CIANO)","2020-12-14","04:00:00","10.90","11.07","10.41","69.39","0.00","0.00","5.21","298.86","1003.44","0.05",
"BLOCK 910 (CIANO)","2020-12-14","05:00:00","10.26","10.84","9.60","70.94","0.00","0.00","5.50","278.83","1003.66","0.05",
"BLOCK 910 (CIANO)","2020-12-14","06:00:00","9.52","9.93","9.21","73.89","0.00","0.18","4.82","255.41","1004.12","0.03",
"BLOCK 910 (CIANO)","2020-12-14","07:00:00","10.24","12.00","9.22","73.08","0.00","53.45","4.79","286.89","1004.76","0.05",
"BLOCK 910 (CIANO)","2020-12-14","08:00:00","13.62","15.21","11.94","62.63","0.00","225.37","5.28","326.44","1005.57","0.14",
"BLOCK 910 (CIANO)","2020-12-14","09:00:00","16.96","19.15","15.13","51.34","0.00","401.65","5.47","335.58","1006.27","0.27",
"BLOCK 910 (CIANO)","2020-12-14","10:00:00","20.52","21.58","19.18","40.36","0.00","542.92","2.21","326.10","1006.40","0.36",
"BLOCK 910 (CIANO)","2020-12-14","11:00:00","22.38","23.49","20.99","34.75","0.00","628.52","4.48","262.48","1006.00","0.47",
"BLOCK 910 (CIANO)","2020-12-14","12:00:00","23.89","24.85","23.05","33.68","0.00","652.92","6.09","255.49","1005.05","0.53",
"BLOCK 910 (CIANO)","2020-12-14","13:00:00","24.97","25.70","24.08","30.83","0.00","612.95","8.43","281.96","1004.42","0.57",
"BLOCK 910 (CIANO)","2020-12-14","14:00:00","26.12","26.76","25.69","27.31","0.00","519.40","7.37","274.69","1003.81","0.54",
"BLOCK 910 (CIANO)","2020-12-14","15:00:00","26.48","26.86","26.19","25.19","0.00","372.53","7.58","276.02","1003.56","0.49",
"BLOCK 910 (CIANO)","2020-12-14","16:00:00","25.50","26.28","24.55","26.24","0.00","193.18","7.01","267.33","1003.28","0.38",
"BLOCK 910 (CIANO)","2020-12-14","17:00:00","22.56","24.57","20.80","30.99","0.00","30.59","4.23","266.17","1003.12","0.17",
"BLOCK 910 (CIANO)","2020-12-14","18:00:00","19.59","20.83","18.87","37.49","0.00","0.01","3.26","246.92","1003.10","0.09",
"BLOCK 910 (CIANO)","2020-12-14","19:00:00","15.92","18.83","13.88","49.64","0.00","0.00","0.67","143.80","1003.39","0",
"BLOCK 910 (CIANO)","2020-12-14","20:00:00","13.11","13.87","11.93","58.96","0.00","0.00","0.56","116.57","1003.43","0.03",
"BLOCK 910 (CIANO)","2020-12-14","21:00:00","11.73","12.20","11.29","67.80","0.00","0.00","1.97","154.91","1003.46","0.05",
"BLOCK 910 (CIANO)","2020-12-14","22:00:00","10.90","11.75","9.53","71.77","0.00","0.00","0.76","51.58","1003.68","0.02",
"BLOCK 910 (CIANO)","2020-12-14","23:00:00","9.66","10.73","8.69","72.90","0.00","0.00","4.18","143.14","1004.15","0.06",
"BLOCK 910 (CIANO)","2020-12-15","00:00:00","10.00","10.35","9.44","74.72","0.00","0.00","3.41","157.79","1004.23","0.02",
"BLOCK 910 (CIANO)","2020-12-15","01:00:00","8.91","9.98","7.90","81.68","0.00","0.00","3.59","153.93","1004.19","0.01",
"BLOCK 910 (CIANO)","2020-12-15","02:00:00","8.37","9.09","7.52","87.80","0.00","0.00","2.91","158.78","1003.92","0.00",
"BLOCK 910 (CIANO)","2020-12-15","03:00:00","7.85","8.92","6.79","91.63","0.00","0.00","1.10","84.68","1003.67","0",
"BLOCK 910 (CIANO)","2020-12-15","04:00:00","6.84","7.72","6.09","90.00","0.00","0.00","1.50","129.43","1003.64","0",
"BLOCK 910 (CIANO)","2020-12-15","05:00:00","6.39","7.26","5.15","91.27","0.00","0.00","0.90","106.16","1003.93","0",
"BLOCK 910 (CIANO)","2020-12-15","06:00:00","5.11","5.58","4.61","88.12","0.00","0.15","0.79","28.72","1004.53","0",
"BLOCK 910 (CIANO)","2020-12-15","07:00:00","6.61","9.23","4.84","83.74","0.00","52.08","1.27","140.92","1005.10","0.00",
"BLOCK 910 (CIANO)","2020-12-15","08:00:00","13.16","15.94","9.22","62.87","0.00","225.22","1.23","42.31","1005.97","0.11",
"BLOCK 910 (CIANO)","2020-12-15","09:00:00","15.73","16.83","14.81","51.04","0.00","399.95","4.76","326.56","1006.88","0.25",
"BLOCK 910 (CIANO)","2020-12-15","10:00:00","18.69","20.48","16.74","39.95","0.00","541.63","6.01","338.65","1007.11","0.38",
"BLOCK 910 (CIANO)","2020-12-15","11:00:00","21.48","22.64","20.46","28.87","0.00","630.55","5.23","342.54","1007.03","0.48",
"BLOCK 910 (CIANO)","2020-12-15","12:00:00","22.88","23.95","22.31","27.65","0.00","657.92","6.37","293.82","1006.39","0.54",
"BLOCK 910 (CIANO)","2020-12-15","13:00:00","23.62","24.39","23.06","27.81","0.00","611.23","5.55","280.90","1005.30","0.51",
"BLOCK 910 (CIANO)","2020-12-15","14:00:00","24.44","25.50","23.74","25.73","0.00","525.67","4.45","304.06","1004.60","0.47",
"BLOCK 910 (CIANO)","2020-12-15","15:00:00","24.87","25.53","24.36","24.63","0.00","375.88","3.27","269.65","1004.20","0.36",
"BLOCK 910 (CIANO)","2020-12-15","16:00:00","23.84","25.10","21.57","28.02","0.00","192.65","6.41","255.09","1003.98","0.34",
"BLOCK 910 (CIANO)","2020-12-15","17:00:00","19.41","21.57","17.58","41.92","0.00","29.29","8.35","266.46","1003.77","0.21",
"BLOCK 910 (CIANO)","2020-12-15","18:00:00","16.38","17.59","15.30","50.30","0.00","0.01","5.97","273.34","1003.90","0.12",
"BLOCK 910 (CIANO)","2020-12-15","19:00:00","14.53","15.34","13.85","59.23","0.00","0.00","5.09","279.42","1004.33","0.09",
"BLOCK 910 (CIANO)","2020-12-15","20:00:00","12.47","13.87","10.93","68.29","0.00","0.00","1.71","15.04","1004.72","0.04",
"BLOCK 910 (CIANO)","2020-12-15","21:00:00","11.31","12.58","10.68","74.90","0.00","0.00","1.68","312.80","1004.96","0.03",
"BLOCK 910 (CIANO)","2020-12-15","22:00:00","12.14","12.65","11.52","74.82","0.00","0.00","3.32","289.74","1005.09","0.05",
"BLOCK 910 (CIANO)","2020-12-15","23:00:00","11.04","11.63","10.51","78.15","0.00","0.00","5.97","292.56","1004.93","0.06",
"BLOCK 910 (CIANO)","2020-12-16","00:00:00","10.18","10.53","9.88","77.17","0.00","0.00","6.63","310.51","1004.56","0.04",
"BLOCK 910 (CIANO)","2020-12-16","01:00:00","9.04","10.17","7.80","77.56","0.00","0.00","1.67","318.82","1004.20","0.00",
"BLOCK 910 (CIANO)","2020-12-16","02:00:00","8.14","8.38","7.83","79.97","0.00","0.00","2.67","269.24","1004.01","0.01",
"BLOCK 910 (CIANO)","2020-12-16","03:00:00","8.48","8.78","8.23","70.25","0.00","0.00","3.58","297.71","1003.83","0.03",
"BLOCK 910 (CIANO)","2020-12-16","04:00:00","8.41","8.79","7.79","64.62","0.00","0.00","4.53","292.79","1003.61","0.05",
"BLOCK 910 (CIANO)","2020-12-16","05:00:00","7.40","7.89","7.04","66.04","0.00","0.00","4.29","278.89","1003.69","0.04",
"BLOCK 910 (CIANO)","2020-12-16","06:00:00","6.92","7.16","6.12","70.12","0.00","0.14","2.98","294.84","1004.20","0.01",
"BLOCK 910 (CIANO)","2020-12-16","07:00:00","7.53","9.22","5.93","68.49","0.00","52.98","4.55","304.17","1004.46","0.05",
"BLOCK 910 (CIANO)","2020-12-16","08:00:00","12.07","15.14","9.20","56.14","0.00","226.13","4.57","339.05","1004.95","0.14",
"BLOCK 910 (CIANO)","2020-12-16","09:00:00","17.10","19.02","15.13","39.42","0.00","406.53","10.31","349.98","1005.34","0.34",
"BLOCK 910 (CIANO)","2020-12-16","10:00:00","20.10","21.41","18.73","32.32","0.00","547.33","9.37","350.49","1005.62","0.45",
"BLOCK 910 (CIANO)","2020-12-16","11:00:00","22.43","23.71","21.23","26.51","0.00","636.95","9.64","338.92","1005.14","0.56",
"BLOCK 910 (CIANO)","2020-12-16","12:00:00","24.47","25.36","23.37","23.87","0.00","665.53","9.72","317.65","1004.26","0.62",
"BLOCK 910 (CIANO)","2020-12-16","13:00:00","25.70","26.52","25.06","22.79","0.00","629.93","9.75","297.97","1003.22","0.64",
"BLOCK 910 (CIANO)","2020-12-16","14:00:00","25.97","26.63","25.40","24.08","0.00","533.83","9.67","284.36","1002.78","0.60",
"BLOCK 910 (CIANO)","2020-12-16","15:00:00","25.57","26.45","25.01","26.52","0.00","383.98","10.28","279.03","1002.46","0.53",
"BLOCK 910 (CIANO)","2020-12-16","16:00:00","24.28","25.33","22.55","30.83","0.00","202.68","9.16","270.37","1002.43","0.39",
"BLOCK 910 (CIANO)","2020-12-16","17:00:00","20.09","22.55","18.00","42.27","0.00","31.98","8.09","264.51","1002.43","0.21",
"BLOCK 910 (CIANO)","2020-12-16","18:00:00","16.75","17.98","15.68","51.37","0.00","0.01","6.82","264.88","1002.51","0.13",
"BLOCK 910 (CIANO)","2020-12-16","19:00:00","14.61","15.70","13.37","63.81","0.00","0.00","4.31","282.26","1002.71","0.06",
"BLOCK 910 (CIANO)","2020-12-16","20:00:00","11.74","13.37","10.64","70.66","0.00","0.00","0.58","81.13","1002.84","0.02",
"BLOCK 910 (CIANO)","2020-12-16","21:00:00","11.41","12.20","10.44","76.32","0.00","0.00","0.98","280.46","1002.99","0.02",
"BLOCK 910 (CIANO)","2020-12-16","22:00:00","11.07","12.28","9.88","77.12","0.00","0.00","2.85","268.26","1003.03","0.04",
"BLOCK 910 (CIANO)","2020-12-16","23:00:00","9.84","11.67","7.04","79.61","0.00","0.00","2.01","216.79","1003.12","0.03",
"BLOCK 910 (CIANO)","2020-12-17","00:00:00","7.40","7.60","6.98","87.12","0.00","0.00","0.65","107.66","1003.05","0",
"BLOCK 910 (CIANO)","2020-12-17","01:00:00","7.19","7.80","6.77","90.32","0.00","0.00","0.81","76.68","1002.89","0",
"BLOCK 910 (CIANO)","2020-12-17","02:00:00","6.82","7.74","6.31","88.55","0.00","0.00","0.67","335.87","1002.95","0",
"BLOCK 910 (CIANO)","2020-12-17","03:00:00","7.08","7.86","5.93","89.12","0.00","0.00","1.49","241.79","1002.74","0",
"BLOCK 910 (CIANO)","2020-12-17","04:00:00","7.39","10.07","5.61","87.72","0.00","0.00","2.81","285.20","1002.73","0.00",
"BLOCK 910 (CIANO)","2020-12-17","05:00:00","8.39","10.00","5.60","73.34","0.00","0.00","1.72","288.86","1003.24","0.01",
"BLOCK 910 (CIANO)","2020-12-17","06:00:00","5.52","5.90","4.94","83.35","0.00","0.11","2.03","84.40","1003.53","0",
"BLOCK 910 (CIANO)","2020-12-17","07:00:00","7.21","9.76","5.89","81.95","0.00","49.88","0.78","43.86","1003.80","0",
"BLOCK 910 (CIANO)","2020-12-17","08:00:00","12.72","15.08","9.81","61.26","0.00","221.27","2.29","110.35","1004.71","0.12",
"BLOCK 910 (CIANO)","2020-12-17","09:00:00","17.03","18.23","14.98","42.43","0.00","399.80","2.38","38.51","1005.31","0.25",
"BLOCK 910 (CIANO)","2020-12-17","10:00:00","19.62","20.54","18.07","35.45","0.00","543.47","1.43","145.68","1005.32","0.34",
"BLOCK 910 (CIANO)","2020-12-17","11:00:00","21.79","23.22","20.22","33.07","0.00","631.53","4.90","268.79","1005.25","0.47",
"BLOCK 910 (CIANO)","2020-12-17","12:00:00","23.86","25.02","22.79","29.88","0.00","657.35","6.07","274.25","1004.54","0.54",
"BLOCK 910 (CIANO)","2020-12-17","13:00:00","25.38","26.16","24.38","27.22","0.00","622.82","5.20","281.77","1003.88","0.54",
"BLOCK 910 (CIANO)","2020-12-17","14:00:00","26.30","26.99","25.72","25.23","0.00","527.80","6.79","240.08","1003.60","0.55",
"BLOCK 910 (CIANO)","2020-12-17","15:00:00","26.63","27.14","26.22","26.90","0.00","378.67","6.97","256.01","1003.47","0.48",
"BLOCK 910 (CIANO)","2020-12-17","16:00:00","24.56","26.28","23.08","35.53","0.00","206.55","9.39","265.49","1003.26","0.38",
"BLOCK 910 (CIANO)","2020-12-17","17:00:00","21.30","23.09","19.54","38.37","0.00","35.86","6.63","258.54","1003.11","0.21",
"BLOCK 910 (CIANO)","2020-12-17","18:00:00","18.54","19.53","17.92","43.82","0.00","0.01","4.32","237.65","1003.07","0.11",
"BLOCK 910 (CIANO)","2020-12-17","19:00:00","15.76","17.92","13.41","53.13","0.00","0.00","1.18","190.91","1003.50","0.01",
"BLOCK 910 (CIANO)","2020-12-17","20:00:00","12.78","13.39","12.16","63.83","0.00","0.00","2.95","146.71","1003.68","0.07",
"BLOCK 910 (CIANO)","2020-12-17","21:00:00","11.76","12.49","10.88","70.55","0.00","0.00","3.20","152.42","1003.76","0.06",
"BLOCK 910 (CIANO)","2020-12-17","22:00:00","10.99","12.17","10.38","70.74","0.00","0.00","5.21","141.74","1004.08","0.07",
"BLOCK 910 (CIANO)","2020-12-17","23:00:00","10.32","10.91","9.97","72.58","0.00","0.00","5.68","149.22","1004.41","0.07",
"BLOCK 910 (CIANO)","2020-12-18","00:00:00","9.72","10.33","8.79","77.85","0.00","0.00","5.53","164.74","1004.34","0.03",
"BLOCK 910 (CIANO)","2020-12-18","01:00:00","8.49","9.15","7.68","84.20","0.00","0.00","4.49","141.83","1004.25","0.02",
"BLOCK 910 (CIANO)","2020-12-18","02:00:00","8.10","8.71","7.46","87.43","0.00","0.00","2.73","122.77","1004.39","0.00",
"BLOCK 910 (CIANO)","2020-12-18","03:00:00","8.74","9.34","7.80","87.05","0.00","0.00","2.95","120.17","1004.42","0.00",
"BLOCK 910 (CIANO)","2020-12-18","04:00:00","8.22","8.75","7.69","84.60","0.00","0.00","2.96","124.00","1004.54","0.01",
"BLOCK 910 (CIANO)","2020-12-18","05:00:00","9.05","9.61","8.31","82.28","0.00","0.00","4.44","105.96","1005.07","0.02",
"BLOCK 910 (CIANO)","2020-12-18","06:00:00","7.53","9.04","6.38","84.33","0.00","0.09","2.24","38.26","1005.70","0",
"BLOCK 910 (CIANO)","2020-12-18","07:00:00","7.58","10.89","6.36","84.57","0.00","54.68","2.24","51.36","1006.18","0.01",
"BLOCK 910 (CIANO)","2020-12-18","08:00:00","14.96","17.49","10.90","71.59","0.00","261.10","5.59","109.77","1006.82","0.14",
"BLOCK 910 (CIANO)","2020-12-18","09:00:00","18.26","19.50","16.97","73.93","0.00","368.08","9.30","129.80","1007.50","0.20",
"BLOCK 910 (CIANO)","2020-12-18","10:00:00","20.19","21.21","19.18","62.86","0.00","499.52","10.27","160.20","1008.01","0.31",
"BLOCK 910 (CIANO)","2020-12-18","11:00:00","21.87","22.74","20.98","49.69","0.00","620.47","10.12","163.14","1007.99","0.44",
"BLOCK 910 (CIANO)","2020-12-18","12:00:00","23.41","24.08","22.48","42.67","0.00","624.08","9.93","158.62","1007.41","0.50",
"BLOCK 910 (CIANO)","2020-12-18","13:00:00","23.98","24.88","23.29","37.94","0.00","498.25","7.37","194.02","1006.98","0.46",
"BLOCK 910 (CIANO)","2020-12-18","14:00:00","24.35","25.01","23.51","35.02","0.00","508.53","8.74","230.58","1006.97","0.49",
"BLOCK 910 (CIANO)","2020-12-18","15:00:00","23.71","24.41","23.08","32.90","0.00","279.83","6.03","246.42","1006.93","0.35",
"BLOCK 910 (CIANO)","2020-12-18","16:00:00","22.86","24.03","22.09","36.14","0.00","136.68","5.06","257.37","1006.81","0.24",
"BLOCK 910 (CIANO)","2020-12-18","17:00:00","21.37","22.48","19.87","42.38","0.00","38.23","4.36","243.44","1006.66","0.14",
"BLOCK 910 (CIANO)","2020-12-18","18:00:00","18.77","19.86","17.85","57.25","0.00","0.00","3.98","255.30","1006.92","0.09",
"BLOCK 910 (CIANO)","2020-12-18","19:00:00","17.53","17.85","17.05","73.35","0.00","0.00","4.73","284.13","1007.38","0.05",
"BLOCK 910 (CIANO)","2020-12-18","20:00:00","16.27","17.03","15.49","83.71","0.00","0.00","5.10","287.86","1007.68","0.05",
"BLOCK 910 (CIANO)","2020-12-18","21:00:00","14.76","15.51","14.07","89.37","0.00","0.00","3.95","304.09","1008.07","0.03",
"BLOCK 910 (CIANO)","2020-12-18","22:00:00","13.60","14.08","13.18","91.85","0.00","0.00","3.06","329.42","1008.30","0.02",
"BLOCK 910 (CIANO)","2020-12-18","23:00:00","13.21","13.57","12.77","93.52","0.00","0.00","4.42","291.08","1008.15","0.02",
"BLOCK 910 (CIANO)","2020-12-19","00:00:00","12.40","12.84","12.08","94.17","0.00","0.00","5.60","298.96","1007.91","0.00",
"BLOCK 910 (CIANO)","2020-12-19","01:00:00","11.89","12.20","11.63","91.98","0.00","0.00","5.44","306.95","1007.83","0.01",
"BLOCK 910 (CIANO)","2020-12-19","02:00:00","11.34","11.84","11.05","85.08","0.00","0.00","6.30","296.79","1007.70","0.02",
