Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
"BLOCK 1101","2018-09-22","00:00:00","26.30","26.45","26.11","95.47","0.00","0.13","2.72","147.73","1007.02","0",
"BLOCK 1101","2018-09-22","01:00:00","26.01","26.25","25.87","96.30","0.00","0.12","3.74","116.30","1006.75","0",
"BLOCK 1101","2018-09-22","02:00:00","25.71","25.94","25.60","96.97","0.00","0.10","3.86","113.31","1006.30","0",
"BLOCK 1101","2018-09-22","03:00:00","25.47","25.63","25.34","97.43","0.00","0.10","2.18","124.51","1005.94","0",
"BLOCK 1101","2018-09-22","04:00:00","25.28","25.36","25.22","97.90","0.00","0.09","2.53","128.21","1006.11","0",
"BLOCK 1101","2018-09-22","05:00:00","25.18","25.29","25.13","98.15","0.00","0.10","2.45","91.09","1006.28","0",
"BLOCK 1101","2018-09-22","06:00:00","25.27","26.06","25.09","98.27","0.00","28.96","2.82","102.95","1006.57","0",
"BLOCK 1101","2018-09-22","07:00:00","27.72","28.96","26.05","90.42","0.00","215.25","3.73","106.60","1006.98","0.13",
"BLOCK 1101","2018-09-22","08:00:00","29.76","30.45","28.99","82.72","0.00","417.33","3.90","116.62","1007.23","0.29",
"BLOCK 1101","2018-09-22","09:00:00","30.85","31.59","30.22","79.36","0.00","592.25","5.39","124.14","1007.39","0.41",
"BLOCK 1101","2018-09-22","10:00:00","32.22","33.18","31.28","73.05","0.00","710.18","4.25","128.22","1007.44","0.53",
"BLOCK 1101","2018-09-22","11:00:00","33.74","34.77","32.67","66.66","0.00","768.37","3.97","202.31","1007.16","0.61",
"BLOCK 1101","2018-09-22","12:00:00","34.48","35.66","33.64","63.91","0.00","817.95","4.50","146.06","1006.65","0.66",
"BLOCK 1101","2018-09-22","13:00:00","35.63","36.45","34.46","58.94","0.00","739.12","4.98","244.58","1006.02","0.64",
"BLOCK 1101","2018-09-22","14:00:00","35.26","36.55","34.09","62.43","0.00","581.62","12.86","213.88","1005.18","0.59",
"BLOCK 1101","2018-09-22","15:00:00","35.20","35.75","34.69","62.23","0.00","493.12","13.69","229.90","1004.52","0.55",
"BLOCK 1101","2018-09-22","16:00:00","34.69","35.13","34.22","63.46","0.00","304.23","14.38","231.14","1004.32","0.45",
"BLOCK 1101","2018-09-22","17:00:00","33.75","34.41","32.78","65.71","0.00","118.72","14.50","244.13","1004.26","0.34",
"BLOCK 1101","2018-09-22","18:00:00","31.54","32.81","30.59","74.79","0.00","10.46","10.76","256.72","1004.39","0.16",
"BLOCK 1101","2018-09-22","19:00:00","30.00","30.61","29.35","81.92","0.00","0.09","7.89","249.68","1004.81","0.08",
"BLOCK 1101","2018-09-22","20:00:00","29.20","29.36","28.98","86.62","0.00","0.10","4.46","223.86","1005.78","0.06",
"BLOCK 1101","2018-09-22","21:00:00","28.75","29.06","28.51","89.73","0.00","0.04","3.70","162.18","1006.52","0.04",
"BLOCK 1101","2018-09-22","22:00:00","28.44","28.66","28.10","91.78","0.00","0.04","7.27","162.03","1006.54","0.05",
"BLOCK 1101","2018-09-22","23:00:00","28.20","28.27","28.08","93.42","0.00","0.05","10.32","164.01","1006.60","0.05",
"BLOCK 1101","2018-09-23","00:00:00","27.89","28.28","27.49","94.17","0.00","0.06","9.46","157.48","1006.75","0.02",
