Estación,Fecha,hora,Temperatura promedio,Temperatura máxima,Temperatura mínima,Humedad relativa,Precipitación,Radiación solar,Velocidad del viento,Dirección de viento,Presión barométrica,Evapotranspiración
"BLOCK 910 (CIANO)","2018-12-22","00:00:00","12.19","12.55","11.88","77.75","0.00","0.00","1.79","94.29","1003.46","0.00",
"BLOCK 910 (CIANO)","2018-12-22","01:00:00","10.90","12.48","10.15","77.82","0.00","0.00","4.27","35.19","1003.88","0.03",
"BLOCK 910 (CIANO)","2018-12-22","02:00:00","10.56","11.27","10.08","81.25","0.00","0.00","2.63","63.07","1003.87","0.01",
"BLOCK 910 (CIANO)","2018-12-22","03:00:00","10.41","10.99","9.90","83.90","0.00","0.00","0.62","165.76","1003.98","0",
"BLOCK 910 (CIANO)","2018-12-22","04:00:00","10.19","11.99","8.92","80.85","0.00","0.00","3.43","25.53","1004.18","0.02",
"BLOCK 910 (CIANO)","2018-12-22","05:00:00","10.00","10.91","8.32","81.50","0.00","0.00","2.63","128.53","1004.38","0.01",
"BLOCK 910 (CIANO)","2018-12-22","06:00:00","9.64","10.74","8.33","79.90","0.00","0.05","7.77","145.86","1004.64","0.03",
"BLOCK 910 (CIANO)","2018-12-22","07:00:00","10.25","11.61","9.50","79.87","0.00","46.01","1.59","258.17","1005.88","0.01",
"BLOCK 910 (CIANO)","2018-12-22","08:00:00","14.03","16.12","11.60","71.88","0.00","205.08","3.30","322.66","1006.61","0.11",
"BLOCK 910 (CIANO)","2018-12-22","09:00:00","18.63","21.49","16.14","58.37","0.00","385.77","3.67","13.66","1007.64","0.25",
"BLOCK 910 (CIANO)","2018-12-22","10:00:00","22.47","23.69","21.14","45.37","0.00","506.17","7.87","117.19","1007.92","0.41",
"BLOCK 910 (CIANO)","2018-12-22","11:00:00","24.62","26.11","23.55","43.46","0.00","476.40","9.39","140.65","1007.21","0.45",
"BLOCK 910 (CIANO)","2018-12-22","12:00:00","26.64","27.50","25.62","38.57","0.00","564.72","10.94","160.09","1006.00","0.56",
"BLOCK 910 (CIANO)","2018-12-22","13:00:00","27.56","28.71","27.16","35.76","0.00","466.67","8.01","178.64","1005.32","0.52",
